804 847
119 235 983
446 131 -775
195 215 -411
90 494 -663
262 745 -233
187 572 349
123 311 -713
670 765 92
181 713 -747
681 596 859
408 150 993
563 740 879
178 647 -838
757 630 814
134 487 -940
429 474 265
65 762 884
258 517 -136
793 197 716
33 452 462
614 77 -863
367 224 -517
68 715 308
292 586 -388
107 667 -939
85 215 8
213 563 845
53 285 652
391 199 -207
327 568 -686
469 458 -359
15 508 343
437 292 171
342 69 -978
700 151 -426
750 226 204
654 318 -349
115 597 -688
34 72 -616
657 571 163
577 26 -875
316 118 743
552 714 -11
207 306 829
128 37 -191
6 183 798
28 371 496
707 199 176
621 50 592
450 796 809
804 537 -541
361 312 538
758 550 -833
40 360 -132
23 423 174
107 534 752
45 594 -903
536 651 515
265 796 -705
405 73 -672
76 375 -338
684 760 -239
715 370 36
652 549 -781
708 293 -925
315 408 -783
66 563 307
358 572 -530
116 185 -770
385 576 -134
269 770 -629
295 413 -946
326 692 -293
262 138 -611
428 278 139
752 90 -287
381 30 889
410 118 -356
728 593 -320
82 268 -113
434 310 132
194 258 -975
554 301 325
322 114 703
382 393 1000
353 377 -442
143 333 73
145 476 -265
621 788 512
510 469 768
160 423 723
274 363 -508
760 310 866
615 738 -950
23 170 -822
125 541 -430
590 541 879
39 113 -701
338 508 -287
128 173 152
733 84 102
207 500 707
492 650 -737
679 421 -903
104 310 696
403 24 33
331 171 33
763 463 162
70 388 -75
801 620 -841
308 363 757
556 638 -191
422 717 280
291 449 69
702 372 93
466 4 484
364 624 640
409 205 -873
568 634 -162
340 255 271
119 588 177
60 523 -548
230 25 19
535 419 -59
700 93 536
143 376 281
617 211 438
254 434 -358
82 47 538
613 550 497
355 375 870
774 18 -856
658 668 -491
387 205 427
164 480 -841
609 440 -79
132 607 336
17 795 14
284 240 74
134 721 -573
46 767 -95
660 491 -288
544 505 275
613 1 -461
359 618 -202
480 546 -3
168 586 -604
266 472 -854
425 793 60
355 162 -34
284 657 116
305 656 -715
17 7 -851
117 617 -448
798 575 -600
303 685 284
800 67 406
317 150 -821
286 34 -923
49 205 -770
297 710 630
540 294 144
336 724 -966
18 433 102
424 382 -902
595 747 -646
502 63 250
201 233 -518
347 148 -671
132 797 458
548 371 -54
548 242 -346
279 598 510
70 632 -269
790 651 521
65 124 -991
111 640 919
799 662 995
659 247 -282
245 641 -986
545 249 389
643 199 -738
115 783 -945
397 170 -749
285 539 -393
691 51 784
342 209 -32
699 12 219
703 248 -198
528 433 581
542 485 914
147 748 926
236 415 365
212 631 785
448 370 -365
501 645 711
673 220 427
608 573 201
475 665 365
804 371 -557
541 453 -470
382 369 697
40 490 -920
152 456 783
166 430 -56
194 230 144
800 520 -655
144 298 -236
501 116 728
280 387 995
434 227 452
536 260 848
345 579 290
237 279 -173
133 119 888
134 746 995
366 219 603
516 778 -736
717 502 320
362 405 -359
342 738 -907
176 774 850
306 317 -857
5 382 548
603 569 -329
134 438 365
425 54 752
333 435 -898
102 381 409
140 350 471
153 583 664
540 360 746
107 412 55
600 296 -147
567 39 -504
70 345 785
331 253 -319
426 488 153
434 704 -53
235 638 316
544 113 -887
729 531 -880
664 292 999
305 386 -243
81 319 10
268 415 -734
593 304 -646
722 33 -595
674 25 188
488 771 509
634 730 61
770 352 -176
186 256 -688
547 367 497
244 277 801
341 485 -247
384 106 389
227 772 689
661 578 -819
294 280 -31
763 263 497
315 782 -934
331 434 764
5 577 877
368 299 349
280 800 825
772 63 -313
245 331 -29
555 328 -154
189 443 279
482 757 -433
150 3 97
393 245 786
576 302 790
296 13 -56
213 705 440
220 354 -689
459 701 730
695 17 75
417 274 -865
106 549 -788
663 389 -750
734 265 -938
163 643 -32
144 588 612
357 441 -443
238 123 509
613 192 481
738 172 -879
242 566 -485
496 589 -596
487 239 -244
218 412 845
24 376 647
86 212 -358
193 109 -80
777 333 433
544 673 530
606 796 -685
25 66 776
543 94 501
572 59 -781
662 412 521
560 340 290
452 617 -166
69 248 456
416 264 -670
544 148 65
66 362 -860
725 752 218
552 695 759
472 76 666
472 605 -975
561 582 746
574 177 -625
213 297 -426
328 333 -356
215 425 -90
502 365 -372
134 378 -254
798 246 936
518 699 898
480 211 170
43 606 359
313 256 -903
417 270 274
229 42 113
215 232 544
763 792 -917
156 49 -443
752 263 -962
176 334 112
24 595 628
30 630 256
641 227 339
465 200 -546
575 675 375
478 616 -83
803 802 -855
251 39 -189
94 638 547
562 662 -374
747 376 868
28 539 -915
271 795 -172
617 749 -365
455 87 136
769 44 288
34 29 -798
751 690 -350
741 256 84
266 653 -336
5 631 1
153 697 111
404 257 -449
557 553 -249
611 558 -226
643 11 -328
426 450 971
472 450 -505
382 56 789
193 211 885
201 252 -642
529 632 -571
491 159 112
388 165 641
479 259 -995
785 584 -871
183 519 703
634 189 -993
465 611 -923
97 382 -20
803 790 784
127 357 -9
579 760 -210
358 666 -300
657 496 -397
199 464 -53
1 445 441
552 659 -40
598 206 651
704 161 691
631 6 536
265 237 -374
514 175 -690
53 470 -167
749 102 562
585 261 662
191 426 -8
628 146 891
687 307 311
144 243 411
64 389 -286
129 105 94
784 479 302
406 241 -930
388 181 951
31 456 -46
447 213 -966
797 346 745
227 56 -815
147 443 -799
145 68 -925
177 183 -646
161 802 375
670 331 -836
633 269 150
769 45 -69
474 334 -665
522 210 -211
279 92 314
146 408 -92
299 393 -640
209 79 -392
49 600 -72
