909 2433
485 434 534
56 202 450
386 867 383
677 334 320
609 191 248
608 526 60
263 419 990
610 539 107
818 475 242
244 865 31
802 841 532
163 203 604
152 620 845
401 591 398
169 275 747
260 671 659
722 245 646
652 324 883
202 575 603
820 191 92
844 875 625
745 176 55
542 607 950
179 848 993
80 449 752
383 351 886
697 163 355
724 149 195
547 796 931
560 81 771
673 722 546
105 401 944
824 316 251
466 843 413
429 559 694
528 59 567
773 518 811
316 438 5
449 88 563
29 23 277
314 742 563
540 816 248
126 117 924
842 862 662
841 783 758
825 289 724
104 494 207
387 903 934
170 847 914
837 304 295
110 544 711
433 640 177
482 280 983
783 287 145
200 564 629
65 382 304
359 548 241
414 69 310
460 880 316
607 506 146
187 454 221
739 6 604
304 841 721
594 661 594
191 111 182
55 764 260
575 425 732
690 671 862
498 563 726
544 206 660
909 874 911
833 91 573
662 231 543
885 319 312
860 852 234
511 483 210
91 542 579
801 259 10
305 744 169
166 714 88
882 237 523
671 742 765
858 62 90
878 307 690
542 286 149
657 815 944
293 155 500
836 711 959
687 864 480
611 184 895
334 578 523
608 480 684
622 880 321
106 75 571
459 497 185
623 209 327
476 735 94
66 538 386
858 625 498
14 553 586
37 317 39
702 607 681
689 29 697
242 750 78
497 140 174
59 336 311
4 776 463
575 547 651
772 263 630
199 103 3
550 566 84
51 384 88
131 763 173
76 197 824
465 51 816
510 671 304
57 160 301
91 491 988
553 159 681
808 117 314
39 162 48
96 269 847
311 156 861
746 159 454
397 484 233
882 290 912
896 463 790
314 24 674
449 577 99
493 296 729
644 592 680
535 139 903
131 593 806
861 712 609
667 597 248
747 597 692
378 778 989
231 235 568
15 715 250
207 678 492
391 740 253
469 453 501
572 884 110
330 908 30
885 867 226
794 281 975
168 195 191
27 663 488
863 547 28
458 330 53
420 553 26
115 536 224
511 109 636
160 624 98
723 161 622
532 765 162
55 480 609
555 574 783
354 452 811
605 871 995
611 418 876
847 268 201
654 464 235
80 128 328
431 424 780
781 192 657
662 2 617
821 812 646
409 836 76
156 329 773
493 262 901
506 604 352
201 105 314
441 663 709
93 802 23
267 157 513
290 325 47
804 738 621
670 60 66
415 546 84
881 741 161
432 15 207
708 125 299
560 786 547
345 684 753
345 263 24
384 96 557
826 295 326
117 188 664
602 810 958
803 465 741
819 502 382
181 715 980
594 250 123
654 708 384
734 260 169
525 650 477
89 179 247
166 521 459
659 623 366
630 187 536
284 306 906
160 638 532
680 285 660
552 543 712
619 82 634
493 327 240
727 386 567
177 97 254
812 296 429
265 861 696
623 435 701
510 303 824
711 565 880
727 400 281
425 43 843
818 821 997
302 427 370
172 382 177
223 327 150
813 63 289
440 134 144
449 73 173
471 15 386
612 603 276
150 27 38
170 365 978
344 626 931
744 902 827
565 539 702
469 457 743
448 214 882
794 311 475
807 455 172
194 551 882
883 88 309
712 183 930
879 587 534
111 59 884
98 174 625
107 452 847
703 344 749
489 10 453
871 799 952
7 558 981
678 568 180
351 888 495
661 522 481
757 712 522
308 463 163
216 788 527
266 658 506
727 309 29
570 801 862
706 657 24
894 290 104
825 23 713
788 721 445
78 172 250
296 170 69
26 623 571
96 50 952
692 249 915
309 775 779
12 304 579
468 798 512
687 198 367
386 862 13
745 173 769
774 510 279
723 28 932
367 754 601
128 530 318
450 819 649
135 882 372
493 522 773
796 433 71
90 617 216
514 316 757
219 232 955
402 894 694
816 53 315
664 99 104
591 182 653
713 361 927
132 104 518
480 818 320
704 256 64
478 663 62
205 171 254
83 818 837
443 859 162
641 550 309
264 67 862
187 732 75
786 652 327
286 45 794
716 283 637
624 294 347
629 874 679
144 614 935
894 38 578
662 654 248
866 871 634
699 5 28
614 444 416
466 744 422
105 734 474
280 797 83
432 150 733
636 881 199
236 255 844
10 358 515
904 337 179
742 892 676
753 575 27
871 357 532
468 263 964
51 125 921
617 809 259
518 275 214
307 231 976
64 487 301
629 386 702
677 42 151
312 771 806
771 491 569
696 96 867
665 18 99
333 273 684
906 168 101
78 900 214
169 241 625
618 184 166
19 740 46
226 407 767
758 319 394
436 811 987
645 41 518
868 414 320
83 148 273
809 338 979
27 429 556
41 630 579
885 900 571
192 437 980
579 73 762
316 358 704
406 485 302
270 829 578
182 629 660
4 561 828
553 333 896
142 375 256
705 179 437
407 593 869
517 767 835
328 691 259
591 211 3
281 453 274
385 413 2
822 303 869
229 631 980
772 40 153
524 509 946
383 673 154
429 492 421
114 79 629
752 279 157
184 903 268
549 156 203
423 776 201
187 739 194
375 557 303
698 504 643
240 129 276
752 601 616
493 682 422
599 372 559
565 248 272
563 667 248
81 653 282
424 50 551
528 411 649
678 888 853
613 884 115
715 802 306
677 903 685
477 878 832
77 99 172
232 548 93
539 618 493
862 86 293
76 464 82
431 625 995
272 262 158
437 877 423
500 410 20
894 231 754
332 511 173
443 844 368
184 358 366
704 508 900
722 701 892
279 900 43
459 256 834
42 515 203
300 686 796
812 92 118
417 570 812
549 466 107
558 4 952
691 524 569
879 447 344
662 72 776
538 868 182
557 456 202
128 628 500
857 143 107
856 20 999
783 139 581
372 504 516
41 157 162
187 518 953
59 172 613
472 39 937
312 681 977
400 158 347
784 692 911
603 641 408
731 769 849
634 645 57
723 827 363
392 60 555
688 685 200
511 332 57
436 701 704
59 260 438
354 880 77
762 50 980
384 700 66
41 890 338
482 154 925
347 370 786
765 341 732
489 172 151
45 540 917
900 113 471
765 639 92
121 559 863
900 89 942
66 309 938
326 524 280
761 251 275
585 460 720
193 506 355
578 783 93
800 550 550
80 435 232
743 106 731
664 654 543
446 820 524
809 696 484
652 315 899
511 807 464
733 13 686
135 267 840
539 810 178
795 857 309
244 663 771
