20
977 921
338 576 948
653 1 -110
27 376 -925
515 598 -919
954 856 -695
277 548 -650
97 16 846
851 935 -730
81 101 423
665 589 -755
343 170 131
241 701 470
586 930 -155
429 161 453
918 410 713
910 824 562
526 106 -155
779 974 881
640 260 981
160 678 -9
311 746 912
308 713 -588
455 280 -341
390 539 -420
732 507 -562
949 173 -318
864 248 159
906 622 -599
740 382 357
685 176 -812
706 747 -52
571 299 -443
879 237 981
456 882 -226
446 836 272
314 351 -693
797 485 -24
971 797 -658
32 227 595
515 595 -236
131 277 312
582 374 -145
730 660 419
714 798 853
595 52 468
352 24 774
122 664 -613
872 843 -907
310 139 61
726 142 698
75 607 -75
187 208 415
751 727 -35
240 583 720
14 39 954
37 46 -461
169 700 390
761 403 459
357 419 932
1 812 -349
220 389 -205
222 972 -169
329 548 759
242 350 -729
469 747 484
356 501 537
89 432 -286
50 936 -140
55 685 14
977 568 986
731 292 -760
411 883 -752
568 916 90
270 795 -649
245 27 -482
828 520 607
383 932 -879
554 715 356
64 567 925
241 820 -536
159 94 -425
411 615 527
237 837 -989
402 956 95
212 406 274
734 976 777
608 272 328
60 384 797
495 329 710
472 331 910
396 929 679
738 599 -849
970 653 436
229 465 -704
396 114 -764
698 261 707
343 704 692
513 794 99
498 204 769
486 29 -95
643 810 324
580 272 918
655 529 -929
16 710 803
823 38 -436
151 307 -110
28 453 -914
925 877 -356
40 886 -648
145 276 336
889 716 -467
62 5 -610
333 66 -861
674 896 -91
251 817 536
595 94 5
704 868 -164
820 104 -443
764 47 -313
658 92 11
846 627 767
865 608 894
797 210 -898
782 508 889
117 725 289
734 156 600
432 35 -391
644 912 -596
235 334 361
959 642 -192
10 3 409
205 695 -253
441 346 -47
137 525 239
516 332 247
499 579 -723
819 158 -371
478 349 950
377 888 700
693 942 -708
950 379 763
64 670 -443
801 581 -301
642 828 517
933 427 -127
417 147 200
531 228 -559
363 426 -644
689 458 885
681 86 -584
451 482 -451
303 616 -271
7 490 157
585 579 -723
678 156 687
772 13 422
610 187 14
939 85 -262
74 402 715
431 935 844
488 758 -290
270 609 176
118 668 155
343 821 139
778 447 148
601 427 -307
936 880 -898
123 390 257
298 529 -267
74 411 341
19 231 -299
90 667 763
946 912 360
305 321 -24
472 526 389
429 867 -525
326 473 -455
289 767 851
130 435 -853
96 167 381
168 107 144
907 935 -6
299 652 298
613 90 345
827 11 -640
509 620 -296
127 240 -372
65 401 860
160 234 -85
810 322 -555
830 329 -934
421 222 686
724 283 -863
930 488 -25
521 28 -7
540 352 55
63 866 764
568 843 651
640 350 301
435 213 -384
631 416 891
964 337 -300
744 752 -808
328 525 -894
418 407 333
609 799 127
759 406 -380
3 83 478
728 370 117
572 477 -569
574 767 -807
974 760 -432
128 726 -386
170 101 -106
969 123 -767
651 576 371
819 566 -460
429 622 -887
117 310 -516
880 641 251
45 452 -462
913 704 -418
292 529 863
778 376 708
64 602 558
143 362 -483
123 635 858
539 143 -185
158 176 710
666 127 973
374 188 -135
234 208 -65
926 657 -877
322 402 51
193 419 -591
152 5 937
916 351 924
612 523 613
547 926 -836
47 416 -650
704 242 750
74 586 62
74 966 595
562 927 803
187 524 975
604 486 305
29 380 797
17 92 544
697 818 836
616 90 244
49 407 -276
879 193 -297
318 764 -799
15 823 -288
420 738 952
97 495 -917
935 802 -468
857 781 186
620 339 -910
179 740 -739
145 72 56
414 239 -483
587 581 -573
545 475 384
279 525 -638
540 400 -599
577 93 -596
57 466 -265
474 216 387
628 659 -669
79 906 610
567 402 534
61 753 680
772 571 508
895 839 643
174 105 153
221 517 291
121 417 334
278 108 835
957 493 892
181 296 826
387 575 -137
263 79 -63
896 397 -797
192 309 -237
117 487 -559
911 220 -50
828 833 417
770 660 -67
245 432 -307
50 420 -752
328 20 902
324 66 -568
863 363 416
508 518 445
646 347 192
336 303 916
171 378 -645
500 327 -302
932 713 -841
140 867 171
371 976 755
550 825 -40
705 269 922
52 811 700
555 374 -978
506 435 826
120 117 -696
621 600 21
754 597 -725
222 219 -272
525 285 771
484 561 -429
187 719 -997
558 637 477
342 563 496
198 762 -480
97 392 756
83 156 -776
132 384 -708
833 268 -346
486 449 820
370 853 790
877 515 986
546 756 -627
299 70 473
826 877 219
28 600 187
721 127 -452
421 75 429
971 905 -405
232 139 641
565 148 155
658 278 -880
199 23 227
912 746 528
955 967 949
633 916 758
406 628 744
448 792 215
610 164 -412
688 824 -211
273 510 902
12 251 -248
901 33 895
719 714 4
435 760 616
671 418 881
181 308 158
736 54 331
97 95 -130
37 715 -128
131 176 818
156 61 903
553 138 765
49 760 -917
126 595 225
650 498 780
893 758 -635
531 742 -371
585 92 599
714 249 135
375 243 -317
646 944 -891
68 308 -288
379 944 910
112 242 -403
96 78 -75
836 558 619
125 937 -564
701 430 983
196 652 -645
427 538 903
381 243 770
386 358 -531
424 661 2
480 845 984
147 133 801
925 62 858
919 12 780
706 799 -207
856 727 12
353 491 406
679 528 -852
300 974 710
19 52 -808
312 905 809
871 57 667
918 203 32
532 491 -166
196 554 494
98 789 -931
829 460 -68
172 403 -101
313 741 -23
705 523 476
287 468 -582
238 733 296
814 12 -10
492 554 450
963 441 948
118 405 703
781 888 926
249 107 339
152 764 -400
536 98 867
774 184 -488
72 932 308
350 194 -495
644 344 250
114 198 -33
820 916 -652
535 828 -560
958 520 311
365 794 -818
599 461 939
626 555 543
906 499 -314
241 940 422
904 698 252
275 270 546
349 254 257
300 832 339
616 762 -382
523 969 -90
540 858 330
148 831 -673
556 885 -111
3 425 -894
452 844 -426
178 193 -207
688 708 861
723 425 154
243 881 -440
540 384 981
253 643 -94
129 50 -794
963 405 -740
708 945 -407
425 626 -407
902 72 838
835 593 700
247 143 -231
210 380 -594
562 495 -261
577 486 -462
615 315 -748
816 971 282
130 540 494
382 332 509
242 394 -628
245 356 492
196 851 771
450 873 474
59 741 -502
99 672 -632
116 641 57
445 551 -301
268 406 217
340 629 -530
117 927 -293
794 422 -228
354 397 618
965 696 757
36 699 380
371 733 -564
598 582 34
868 100 -987
737 376 851
685 766 143
532 502 -873
24 967 397
583 493 77
309 410 940
123 296 279
837 460 665
276 321 -98
414 956 195
83 244 779
100 874 774
152 830 637
856 371 -667
925 953 812
731 949 -143
428 822 -687
841 242 326
273 72 -513
573 923 -915
609 419 67
660 392 403
647 433 -28
163 932 84
924 103 -602
655 542 -685
518 666 -107
219 645 273
15 945 -4
36 461 -866
339 322 127
282 625 -835
618 97 -639
509 861 -753
715 413 470
572 324 -949
875 527 362
818 757 -548
212 814 795
42 451 573
976 709 978
200 905 -174
822 471 -464
497 30 799
823 310 -692
808 908 342
600 910 767
132 537 -925
965 541 -180
423 181 763
576 531 444
83 558 246
707 580 311
377 749 651
253 878 541
112 601 701
731 520 -665
586 405 -324
735 568 -71
220 942 -773
490 299 -285
127 388 829
393 952 -719
358 665 -736
623 156 -519
433 353 -251
133 931 -612
977 346 267
478 482 315
844 301 -901
953 363 -905
425 468 865
588 442 -297
781 671 476
56 57 642
802 194 -299
347 534 406
523 851 758
508 270 869
105 250 573
232 590 175
417 951 690
939 74 -73
474 828 138
712 341 366
344 206 -427
172 180 -799
651 953 422
568 227 -714
903 460 -351
805 923 -620
925 775 -655
106 499 -919
782 617 -544
466 953 707
468 438 -168
558 250 -873
553 328 -279
345 405 -472
36 51 -729
768 583 129
937 765 907
205 484 615
511 461 227
259 210 -881
516 726 -8
352 177 -248
190 591 450
552 678 -72
860 572 684
349 654 -486
257 395 -178
514 259 883
635 702 -709
395 34 685
842 776 115
879 541 -446
710 792 -405
572 820 -970
704 212 771
269 568 617
215 773 -102
77 103 -395
813 609 -28
467 556 -355
205 897 103
321 189 -860
452 317 640
206 816 519
414 84 734
100 841 -305
409 460 -220
33 319 -715
147 908 775
791 778 769
334 424 -132
356 497 551
445 834 -67
965 758 -728
422 378 -572
46 742 -965
300 235 -494
804 635 967
301 15 -96
77 446 558
783 782 128
947 69 -414
253 874 -917
439 352 -118
740 169 -184
714 879 -109
336 893 788
422 880 -867
220 289 864
790 592 -600
679 927 40
316 338 -67
39 716 -322
194 183 -892
784 903 -37
465 954 275
389 761 -857
904 518 147
619 805 -81
913 745 -540
243 964 -253
612 18 -471
259 266 -199
475 787 135
748 960 -832
412 86 -917
884 224 -566
929 427 -481
578 427 -181
429 208 -352
179 639 82
544 727 -158
72 844 -835
594 590 -116
433 494 -974
259 790 -549
486 512 717
654 959 567
843 424 -369
427 221 -870
34 392 -165
313 523 -173
258 371 -86
380 743 -702
600 947 -302
223 930 97
961 222 -486
590 68 975
864 653 744
572 479 207
880 380 164
