9029 27641
5505 8284 794
5444 2947 -356
575 3495 800
3393 2760 129
7825 3552 643
4367 7332 -57
2764 403 518
3278 1998 -90
5579 3942 -311
4577 5351 576
272 8458 160
4693 107 349
1661 8185 -919
2151 8449 171
4138 8490 -601
5842 7128 -753
2098 7395 964
6978 3539 211
4257 2794 -332
4451 8811 404
720 4568 838
3688 8218 4
5117 1366 759
577 6519 -12
4965 2579 535
5721 6373 884
365 7526 551
5931 6790 -567
494 2898 563
4074 6813 427
6480 8235 -36
6590 1608 -196
4129 7296 -9
6314 3872 -169
999 976 -437
7275 2928 317
8578 8444 427
4325 1391 104
3672 462 -87
4417 5039 -122
6333 4027 -111
2060 4983 -530
4011 5066 601
3764 2348 367
8137 996 125
2347 8433 -815
1072 6862 -687
151 214 -831
3294 2472 -356
4435 8039 253
2529 1117 552
4635 601 -88
6882 4045 -44
1902 4744 -878
2675 714 323
5232 3805 -191
2679 3709 731
2807 2325 526
4673 7322 -201
7048 7115 241
257 6083 -882
4805 920 558
7437 5808 921
2343 5957 -860
7109 8124 -762
4875 8633 958
1967 2237 392
4160 2508 -916
4399 5609 325
6118 6978 690
6047 6871 317
2547 823 -236
7225 7965 -667
5991 5338 704
7557 4930 64
6571 8778 606
7236 8089 932
6966 2219 -92
1666 8641 896
3629 4052 672
6080 5088 677
6739 7674 -468
7107 5801 535
3462 6781 195
4370 1276 -82
5061 2745 787
7680 3889 322
3304 7076 214
8480 5296 -36
7543 7822 892
6861 1210 543
6898 7382 -343
2244 4324 -934
3769 2969 -344
7490 1795 65
8093 5839 877
5703 5722 -348
2097 4775 731
1069 5651 -716
4913 994 349
5060 4507 573
6868 1406 -237
7804 6315 -345
8631 269 -487
4840 2733 684
1929 8213 -976
9027 5193 979
6925 2008 751
5944 6081 -352
4172 6353 -677
2799 8822 828
8605 2373 -698
6197 199 -712
32 8799 931
1731 7039 -831
1623 3798 -168
2911 727 -412
3905 7623 -447
3780 7931 -493
7705 4113 733
2407 4005 -91
3654 5031 -260
8563 6704 876
8573 6343 774
6380 5832 203
5627 5216 727
1082 5466 -463
3100 906 -3
5735 2222 -53
7720 2919 812
5441 5639 789
7077 1479 647
964 6442 -41
1395 1578 -268
1323 6583 -174
3219 5267 -676
3852 7665 -794
2576 2674 390
4144 4337 -943
550 7162 -717
2389 1667 -288
6039 4500 418
2458 6726 928
879 8910 -49
6593 6963 -60
6167 2136 -494
5991 7271 685
3260 2075 -177
5395 4324 -332
3293 1467 -988
1387 8401 875
7997 2894 419
7281 4490 280
4252 6376 -764
3372 665 -814
3620 8878 -751
2253 1470 -462
1248 8634 -815
835 5889 -662
8905 8875 496
557 718 179
6181 6277 874
908 7059 188
4220 8955 -287
2138 1688 -168
4601 2924 -188
8919 4520 -708
1528 3659 -31
6227 4682 -792
2266 7030 488
1339 5924 -945
5672 8425 2
8927 4262 941
1616 7075 62
6757 548 -123
4686 7649 186
5222 3512 487
4144 2075 -298
5179 2376 816
1564 2834 -509
480 1604 -281
6975 6654 -727
7796 1946 -863
213 6327 -914
8400 6543 258
7245 6446 928
4838 3924 274
2093 5816 -463
3719 2273 -674
4140 1525 880
7108 7689 -563
4922 4864 -755
3060 939 124
1729 1551 -748
7272 4211 717
7909 2111 -326
1136 4255 312
8556 3320 -420
6425 5689 738
6844 8598 334
3044 5303 -280
5076 541 460
5712 8781 -790
5230 3213 -204
1890 2283 -78
3745 7061 -476
7156 4896 883
4264 5073 295
7055 6832 -292
5217 5790 240
4980 3144 -615
2263 5816 637
9014 8586 145
533 8280 -428
6613 3939 648
8456 5628 946
7797 1996 -102
7496 6172 949
6951 8993 -60
6492 1679 998
198 4504 -764
476 6844 -996
7409 2701 961
5560 4930 294
4794 2015 -395
4856 5753 -334
6194 1336 913
7873 8074 -542
231 6813 -859
5572 5341 276
7424 5130 416
1610 5936 604
5663 2652 -520
7452 3468 -630
3761 3298 626
4109 5293 -536
8628 111 250
6795 8891 -179
1106 63 -600
1238 3954 -56
5995 530 679
1964 8034 -186
2060 8317 265
951 7205 327
8399 2061 365
